model,tier,pair,n_raw,n_cal,spearman_raw,spearman_lo,spearman_hi,pearson_calibrated
qwen2.5-1.5b-instruct,C1,verbal-behavioral,192,192,,,,
qwen2.5-1.5b-instruct,C1,verbal-internal,192,192,,,,
qwen2.5-1.5b-instruct,C1,behavioral-internal,200,200,0.2632895791490575,0.11364129115331831,0.3935994092715458,0.24255919151740588
qwen2.5-1.5b-instruct,C2,verbal-behavioral,179,179,0.06458131613474473,0.04935465799911289,0.12255004373226824,0.030307776621540782
qwen2.5-1.5b-instruct,C2,verbal-internal,179,179,0.11604444483018478,0.10589821443475098,0.21092781142600725,0.09238336688532055
qwen2.5-1.5b-instruct,C2,behavioral-internal,200,200,0.3365905887586532,0.2015412479107645,0.4440146827908777,0.2602441965787331
qwen2.5-1.5b-instruct,R1,verbal-behavioral,200,200,,,,
qwen2.5-1.5b-instruct,R1,verbal-internal,200,200,,,,
qwen2.5-1.5b-instruct,R1,behavioral-internal,200,200,0.7216819712193818,0.654337793936503,0.7858628217195944,0.6948275788310796
qwen2.5-3b-instruct,C1,verbal-behavioral,200,200,0.1753054299439766,0.04337984490595844,0.31270323898808355,0.14102444538069983
qwen2.5-3b-instruct,C1,verbal-internal,200,200,0.09612662369181657,-0.024042915483058282,0.22738936208156932,0.06717580591635254
qwen2.5-3b-instruct,C1,behavioral-internal,200,200,0.2577439719634177,0.13327775357477417,0.3867483447877305,0.2019724796989802
qwen2.5-3b-instruct,C2,verbal-behavioral,200,200,0.07068130202315306,-0.0681038076887967,0.1962923242859438,0.07745629432050995
qwen2.5-3b-instruct,C2,verbal-internal,200,200,0.04527960516199208,-0.10837600064716464,0.18343652181017633,0.02978921584762736
qwen2.5-3b-instruct,C2,behavioral-internal,200,200,0.2489311368011617,0.09246020374635062,0.3792453958000152,0.2575873190783564
qwen2.5-3b-instruct,R1,verbal-behavioral,200,200,0.3640714186939876,0.24636758513877746,0.4607678670639124,0.3351216444717563
qwen2.5-3b-instruct,R1,verbal-internal,200,200,0.3028632821499088,0.16739374529746073,0.41284627174518257,0.2631642438010152
qwen2.5-3b-instruct,R1,behavioral-internal,200,200,0.6226975367206132,0.5207902885552849,0.7045927631235853,0.639210586586039
qwen2.5-7b-instruct,C1,verbal-behavioral,200,200,0.235453813493713,0.09078424368287269,0.3733909384668326,0.22117318137797842
qwen2.5-7b-instruct,C1,verbal-internal,200,200,0.16239126469403503,0.02888990014664238,0.2849834843422061,0.14721498474913855
qwen2.5-7b-instruct,C1,behavioral-internal,200,200,0.43705230889184676,0.31895263783266725,0.5511597086150031,0.4293752747369756
qwen2.5-7b-instruct,C2,verbal-behavioral,200,200,0.13947415720794334,0.004473788696248279,0.26046417613035877,0.13528827992266665
qwen2.5-7b-instruct,C2,verbal-internal,200,200,0.16047631213779004,0.0024146118811298888,0.3020807307724111,0.14575692543053945
qwen2.5-7b-instruct,C2,behavioral-internal,200,200,0.28571573730832917,0.16598840061919592,0.41683707384589636,0.2577849600731824
qwen2.5-7b-instruct,C3,verbal-behavioral,200,200,0.025991693302781692,-0.12724419502045048,0.16272419091544577,-0.01431683571092911
qwen2.5-7b-instruct,C3,verbal-internal,200,200,0.04150420095472608,-0.09860856984990908,0.17333911938208282,0.026578557661732602
qwen2.5-7b-instruct,C3,behavioral-internal,200,200,0.1603437080402518,0.01888020401383316,0.28971163406470607,0.022351877112094538
qwen2.5-7b-instruct,R1,verbal-behavioral,199,199,0.38417212125754574,0.2552793980422443,0.4921210853287935,0.37786079424808056
qwen2.5-7b-instruct,R1,verbal-internal,199,199,0.2884981791098116,0.16795995496126312,0.39223431367899886,0.2806791501419175
qwen2.5-7b-instruct,R1,behavioral-internal,200,200,0.6469620340259691,0.5535000496528373,0.71835373372874,0.6319207104605422
POOLED,ALL,verbal-behavioral,1970,1970,0.24774445864913386,0.20349463495427095,0.2877403358090244,0.4174937066475104
POOLED,ALL,verbal-internal,1970,1970,0.28221063216077213,0.23937830312181313,0.32584600010593207,0.4453606154197053
POOLED,ALL,behavioral-internal,2000,2000,0.44365090126739265,0.40727354299091995,0.4809528129962259,0.534625165177494
